FirstName,LastName,EmailAddress,JoinTime,LeaveTime,MeetingID,MeetingTopic,HostName,ParticipantRole
Katherine,Fisher,katherine.fisher@example.com,2025-04-10 09:13:08,2025-04-10 10:52:08,9876543210,Power Query in Excel,Jay Sudha,Attendee
Tammy,Tucker,tammy.tucker@example.com,2025-04-10 09:08:50,2025-04-10 10:49:50,9876543210,Power Query in Excel,Jay Sudha,Attendee
Tammy,Howard,tammy.howard@example.com,2025-04-10 09:05:10,2025-04-10 10:52:10,9876543210,Power Query in Excel,Jay Sudha,Attendee
William,Campbell,william.campbell@example.com,2025-04-10 09:07:27,2025-04-10 10:41:27,9876543210,Power Query in Excel,Jay Sudha,Host
Christine,King,christine.king@example.com,2025-04-10 09:03:14,2025-04-10 10:40:14,9876543210,Power Query in Excel,Jay Sudha,Attendee
Amanda,Thornton,amanda.thornton@example.com,2025-04-10 09:31:03,2025-04-10 10:59:03,9876543210,Power Query in Excel,Jay Sudha,Attendee
Rachel,Collins,rachel.collins@example.com,2025-04-10 09:20:32,2025-04-10 10:53:32,9876543210,Power Query in Excel,Jay Sudha,Attendee
Rachel,Sutton,rachel.sutton@example.com,2025-04-10 09:05:02,2025-04-10 10:26:02,9876543210,Power Query in Excel,Jay Sudha,Attendee
Anita,Gomez,anita.gomez@example.com,2025-04-10 09:16:06,2025-04-10 10:47:06,9876543210,Power Query in Excel,Jay Sudha,Host
Cheryl,Durham,cheryl.durham@example.com,2025-04-10 09:05:23,2025-04-10 10:54:23,9876543210,Power Query in Excel,Jay Sudha,Host
Thomas,Grimes,thomas.grimes@example.com,2025-04-10 09:04:42,2025-04-10 10:57:42,9876543210,Power Query in Excel,Jay Sudha,Co-Host
Bryan,Sellers,bryan.sellers@example.com,2025-04-10 09:08:53,2025-04-10 10:42:53,9876543210,Power Query in Excel,Jay Sudha,Attendee
Christopher,Larsen,christopher.larsen@example.com,2025-04-10 09:00:57,2025-04-10 10:19:57,9876543210,Power Query in Excel,Jay Sudha,Co-Host
Mallory,Barnett,mallory.barnett@example.com,2025-04-10 09:01:30,2025-04-10 10:59:30,9876543210,Power Query in Excel,Jay Sudha,Attendee
Cheryl,Clayton,cheryl.clayton@example.com,2025-04-10 09:00:01,2025-04-10 10:50:01,9876543210,Power Query in Excel,Jay Sudha,Attendee
John,Nguyen,john.nguyen@example.com,2025-04-10 09:11:22,2025-04-10 10:53:22,9876543210,Power Query in Excel,Jay Sudha,Attendee
James,Bradley,james.bradley@example.com,2025-04-10 09:00:32,2025-04-10 10:55:32,9876543210,Power Query in Excel,Jay Sudha,Co-Host
Linda,Thomas,linda.thomas@example.com,2025-04-10 09:04:04,2025-04-10 10:54:04,9876543210,Power Query in Excel,Jay Sudha,Attendee
Seth,Miller,seth.miller@example.com,2025-04-10 09:09:16,2025-04-10 10:57:16,9876543210,Power Query in Excel,Jay Sudha,Attendee
Nancy,Bolton,nancy.bolton@example.com,2025-04-10 09:05:27,2025-04-10 10:55:27,9876543210,Power Query in Excel,Jay Sudha,Co-Host
Daniel,Arnold,daniel.arnold@example.com,2025-04-10 09:33:24,2025-04-10 10:53:24,9876543210,Power Query in Excel,Jay Sudha,Attendee
Amy,Olsen,amy.olsen@example.com,2025-04-10 09:04:15,2025-04-10 10:44:15,9876543210,Power Query in Excel,Jay Sudha,Attendee
James,Lloyd,james.lloyd@example.com,2025-04-10 09:02:18,2025-04-10 10:59:18,9876543210,Power Query in Excel,Jay Sudha,Attendee
Briana,Wallace,briana.wallace@example.com,2025-04-10 09:04:40,2025-04-10 10:58:40,9876543210,Power Query in Excel,Jay Sudha,Attendee
Lauren,Stewart,lauren.stewart@example.com,2025-04-10 09:20:21,2025-04-10 10:56:21,9876543210,Power Query in Excel,Jay Sudha,Attendee
Kelly,Lopez,kelly.lopez@example.com,2025-04-10 09:08:15,2025-04-10 10:43:15,9876543210,Power Query in Excel,Jay Sudha,Attendee
Antonio,Zavala,antonio.zavala@example.com,2025-04-10 09:12:44,2025-04-10 10:31:44,9876543210,Power Query in Excel,Jay Sudha,Attendee
Thomas,Davis,thomas.davis@example.com,2025-04-10 09:04:26,2025-04-10 10:55:26,9876543210,Power Query in Excel,Jay Sudha,Attendee
Nancy,Mclean,nancy.mclean@example.com,2025-04-10 09:08:53,2025-04-10 10:32:53,9876543210,Power Query in Excel,Jay Sudha,Attendee
Christopher,Lyons,christopher.lyons@example.com,2025-04-10 09:14:22,2025-04-10 10:57:22,9876543210,Power Query in Excel,Jay Sudha,Attendee
Frances,Massey,frances.massey@example.com,2025-04-10 09:18:27,2025-04-10 10:53:27,9876543210,Power Query in Excel,Jay Sudha,Co-Host
