EMPLOYEE_ID,FIRST_NAME,LAST_NAME,COUNTRY,GENDER,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_TITLE,SALARY,DEPARTMENT,,
4758965,Dhruv,Prasad,India,Male,Steven.King@company.com,515.123.4567,37789,President,24000,Executive,,
4758966,Tanvi,Kapoor,India,Female,Neena.Kochhar@company.com,515.123.4568,38616,Administration Vice President,17000,Executive,,
4758967,Charlie,Hall,UK,Male,Lex.De Haan@company.com,515.123.4569,36904,Administration Vice President,17000,Executive,,
4758968,Violet,Hill,UK,Female,Alexander.Hunold@company.com,590.423.4567,38720,Programmer,9000,IT,,
4758969,Simran,Ahuja,India,Female,Bruce.Ernst@company.com,590.423.4568,39223,Programmer,6000,IT,,Administration
4758970,Rosie,Hughes,UK,Female,David.Austin@company.com,590.423.4569,38528,Programmer,4800,IT,,Human Resources
4758971,Kavitha,Pillai,India,Female,Valli.Pataballa@company.com,590.423.4560,38753,Programmer,4800,IT,,Finance
4758972,Riya,Sharma,India,Female,Diana.Lorentz@company.com,590.423.5567,39120,Programmer,4200,IT,,IT
4758973,Eleanor,Martin,UK,Female,Nancy.Greenberg@company.com,515.124.4569,37485,Finance Manager,12008,Finance,,Marketing
4758974,Krish,Banerjee,India,Male,Daniel.Faviet@company.com,515.124.4169,37484,Accountant,9000,Finance,,Supply Chain
4758975,Pranav,Das,India,Male,John.Chen@company.com,515.124.4269,38623,Accountant,8200,Finance,,R&D
4758976,Oscar,Clark,UK,Male,Ismael.Sciarra@company.com,515.124.4369,38625,Accountant,7700,Finance,,Customer Service and Support
4758977,Emily,Taylor,UK,Female,Jose Manuel.Urman@company.com,515.124.4469,38783,Accountant,7800,Finance,,Executive
4758978,Siddharth,Nair,India,Male,Luis.Popp@company.com,515.124.4567,39423,Accountant,6900,Finance,,
4758979,Darcy,Green,UK,Female,Den.Raphaely@company.com,515.127.4561,37597,Purchasing Manager,11000,Purchasing,,
4758980,Aarav,Choudhary,India,Male,Alexander.Khoo@company.com,515.127.4562,37759,Purchasing Clerk,3100,Purchasing,,
4758981,Priya,Patel,India,Female,Shelli.Baida@company.com,515.127.4563,38710,Purchasing Clerk,2900,Purchasing,,
4758982,Niamh,White,UK,Female,Sigal.Tobias@company.com,515.127.4564,38557,Purchasing Clerk,2800,Purchasing,,
4758983,Sophie,Thomas,UK,Female,Guy.Himuro@company.com,515.127.4565,39036,Purchasing Clerk,2600,Purchasing,,
4758984,Ishita,Nair,India,Female,Karen.Colmenares@company.com,515.127.4566,39304,Purchasing Clerk,2500,Purchasing,,
