FirstName,LastName,EmailAddress,JoinTime,LeaveTime,MeetingID,MeetingTopic,HostName,ParticipantRole
Noah,Lee,noah.lee@example.com,22-06-2025 09:17,22-06-2025 11:20,987654321,Power Query in Excel,Jay Sudha,Attendee
Harper,Lee,harper.lee@example.com,22-06-2025 09:29,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Henry,Smith,henry.smith@example.com,22-06-2025 09:24,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Mia,Smith,mia.smith@example.com,22-06-2025 09:24,22-06-2025 11:15,987654321,Power Query in Excel,Jay Sudha,Attendee
Ava,Johnson,ava.johnson@example.com,22-06-2025 09:09,22-06-2025 11:37,987654321,Power Query in Excel,Jay Sudha,Attendee
Mia,Hernandez,mia.hernandez@example.com,22-06-2025 09:10,22-06-2025 10:57,987654321,Power Query in Excel,Jay Sudha,Attendee
Lucas,Gonzalez,lucas.gonzalez@example.com,22-06-2025 09:05,22-06-2025 11:06,987654321,Power Query in Excel,Jay Sudha,Attendee
Mia,Johnson,mia.johnson@example.com,22-06-2025 09:22,22-06-2025 11:45,987654321,Power Query in Excel,Jay Sudha,Attendee
Ava,Taylor,ava.taylor@example.com,22-06-2025 09:00,22-06-2025 11:53,987654321,Power Query in Excel,Jay Sudha,Attendee
Isabella,Gonzalez,isabella.gonzalez@example.com,22-06-2025 09:21,22-06-2025 11:42,987654321,Power Query in Excel,Jay Sudha,Attendee
Ava,Hernandez,ava.hernandez@example.com,22-06-2025 09:14,22-06-2025 11:47,987654321,Power Query in Excel,Jay Sudha,Attendee
Michael,Smith,michael.smith@example.com,22-06-2025 09:17,22-06-2025 11:38,987654321,Power Query in Excel,Jay Sudha,Attendee
Evelyn,Smith,evelyn.smith@example.com,22-06-2025 09:10,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Olivia,Moore,olivia.moore@example.com,22-06-2025 09:05,22-06-2025 11:21,987654321,Power Query in Excel,Jay Sudha,Attendee
Michael,Wilson,michael.wilson@example.com,22-06-2025 09:22,22-06-2025 11:54,987654321,Power Query in Excel,Jay Sudha,Attendee
Emma,Gonzalez,emma.gonzalez@example.com,22-06-2025 09:04,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Liam,Jackson,liam.jackson@example.com,22-06-2025 09:18,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Noah,Thomas,noah.thomas@example.com,22-06-2025 09:02,22-06-2025 11:54,987654321,Power Query in Excel,Jay Sudha,Attendee
Isabella,Thomas,isabella.thomas@example.com,22-06-2025 09:20,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Charlotte,Miller,charlotte.miller@example.com,22-06-2025 09:03,22-06-2025 11:36,987654321,Power Query in Excel,Jay Sudha,Attendee
Jay,Sudha,Jay.Sudha@example.com,22-06-2025 09:21,22-06-2025 11:01,987654321,Power Query in Excel,Jay Sudha,Host
Alexander,Taylor,alexander.taylor@example.com,22-06-2025 09:16,22-06-2025 11:40,987654321,Power Query in Excel,Jay Sudha,Attendee
Lucas,Lopez,lucas.lopez@example.com,22-06-2025 09:18,22-06-2025 11:06,987654321,Power Query in Excel,Jay Sudha,Attendee
Lucas,Gonzalez,lucas.gonzalez@example.com,22-06-2025 09:10,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Michael,Taylor,michael.taylor@example.com,22-06-2025 09:01,22-06-2025 11:03,987654321,Power Query in Excel,Jay Sudha,Attendee
Liam,Martinez,liam.martinez@example.com,22-06-2025 09:21,22-06-2025 11:39,987654321,Power Query in Excel,Jay Sudha,Attendee
Elijah,Davis,elijah.davis@example.com,22-06-2025 09:00,22-06-2025 11:54,987654321,Power Query in Excel,Jay Sudha,Attendee
Henry,Jones,henry.jones@example.com,22-06-2025 09:07,22-06-2025 11:57,987654321,Power Query in Excel,Jay Sudha,Attendee
Emma,Smith,emma.smith@example.com,22-06-2025 09:21,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Olivia,Jackson,olivia.jackson@example.com,22-06-2025 09:21,22-06-2025 11:52,987654321,Power Query in Excel,Jay Sudha,Attendee
Harper,Moore,harper.moore@example.com,22-06-2025 09:26,22-06-2025 12:00,987654321,Power Query in Excel,Jay Sudha,Attendee
Emma,Lopez,emma.lopez@example.com,22-06-2025 09:14,22-06-2025 11:11,987654321,Power Query in Excel,Jay Sudha,Attendee
Olivia,Williams,olivia.williams@example.com,22-06-2025 09:02,22-06-2025 11:36,987654321,Power Query in Excel,Jay Sudha,Attendee
William,Johnson,william.johnson@example.com,22-06-2025 09:07,22-06-2025 11:46,987654321,Power Query in Excel,Jay Sudha,Attendee
